IC_RSRVDEP_030	com.fasterxml.jackson.annotation.JsonTypeInfo.None	com.fasterxml.jackson.annotation.JsonTypeInfo.	None	Since 2.5, use Void instead.
IC_JDDM_9696	java.io.File.toURL()	java.io.File	toURL()	"This method does not automatically escape characters that are illegal in URLs. It is recommended that new code convert an abstract pathname into a URL by first converting it into a URI, via the toURI method, and then converting the URI into a URL via the URI.toURL method."	
IC_JDDM_9718	java.io.ObjectOutputStream.PutField.write(ObjectOutput)	java.io.ObjectOutputStream.PutField	write(ObjectOutput)	"This method does not write the values contained by this PutField object in a proper format, and may result in corruption of the serialization stream. The correct way to write PutField data is by calling the ObjectOutputStream.writeFields() method."	
IC_JDDM_9771	java.io.StreamTokenizer(InputStream)	java.io	StreamTokenizer(InputStream)	"
IC_JDDM_X411	java.io.ByteArrayOutputStream.toString?(int)	java.io.ByteArrayOutputStream	toString?(int)	"This method does not properly convert bytes into characters. As of JDK 1.1, the preferred way to do this is via the ByteArrayOutputStream.toString(String charsetName) or ByteArrayOutputStream.toString(Charset charset) method, which takes an encoding-name or charset argument, or the toString() method, which uses the platform's default character encoding."	
IC_JDDM_X417	java.io.ObjectOutputStream.PutField.write?(ObjectOutput)	java.io.ObjectOutputStream.PutField	write?(ObjectOutput)	"This method does not write the values contained by this PutField object in a proper format, and may result in corruption of the serialization stream. The correct way to write PutField data is by calling the ObjectOutputStream.writeFields() method."	
IC_JDDM_X710	java.io.StreamTokenizer?(InputStream)	java.io	StreamTokenizer?(InputStream)	"As of JDK version 1.1, the preferred way to tokenize an input stream is to convert it into a character stream, for example
IC_JDDF_XVII012	java.io.WriteAbortedException.detail	java.io.WriteAbortedException	detail	This field predates the general-purpose exception chaining facility. The Throwable.getCause() method is now the preferred means of obtaining this information.	
Binary file /usr/u2l/u2l_backend/projects/pet-store-master_20230525_222814/Java/JavaRules/JavaCommonRules/JDKDeprecatedList.rules matches
IC_RSRVDEP_446	org.hibernate.persister.collection.AbstractCollectionPersister.doProcessQueuedOps(PersistentCollection, Serializable, int, SessionImplementor)	org.hibernate.persister.collection.AbstractCollectionPersister.	doProcessQueuedOps(PersistentCollection, Serializable, int, SessionImplementor)	Use AbstractCollectionPersister.doProcessQueuedOps(org.hibernate.collection.spi.PersistentCollection, java.io.Serializable, org.hibernate.engine.spi.SessionImplementor)
IC_RSRVDEP_748	org.hibernate.loader.entity.UniqueEntityLoader.load(Serializable, Object, SessionImplementor)	org.hibernate.loader.entity.UniqueEntityLoader.	load(Serializable, Object, SessionImplementor)	use UniqueEntityLoader.load(java.io.Serializable, Object, SessionImplementor, LockOptions) instead.
IC_RSRVDEP_446	org.hibernate.persister.collection.AbstractCollectionPersister.doProcessQueuedOps(PersistentCollection, Serializable, int, SessionImplementor)	org.hibernate.persister.collection.AbstractCollectionPersister.	doProcessQueuedOps(PersistentCollection, Serializable, int, SessionImplementor)	Use AbstractCollectionPersister.doProcessQueuedOps(org.hibernate.collection.spi.PersistentCollection, java.io.Serializable, org.hibernate.engine.spi.SessionImplementor)
IC_RSRVDEP_748	org.hibernate.loader.entity.UniqueEntityLoader.load(Serializable, Object, SessionImplementor)	org.hibernate.loader.entity.UniqueEntityLoader.	load(Serializable, Object, SessionImplementor)	use UniqueEntityLoader.load(java.io.Serializable, Object, SessionImplementor, LockOptions) instead.
IC_JDDF_9248	java.math.BigDecimal.ROUND_CEILING	java.math.BigDecimal	ROUND_CEILING	Use RoundingMode.CEILING instead.	
IC_JDDF_9249	java.math.BigDecimal.ROUND_DOWN	java.math.BigDecimal	ROUND_DOWN	Use RoundingMode.DOWN instead.	
IC_JDDF_9250	java.math.BigDecimal.ROUND_FLOOR	java.math.BigDecimal	ROUND_FLOOR	Use RoundingMode.FLOOR instead.	
IC_JDDF_9251	java.math.BigDecimal.ROUND_HALF_DOWN	java.math.BigDecimal	ROUND_HALF_DOWN	Use RoundingMode.HALF_DOWN instead.	
IC_JDDF_9252	java.math.BigDecimal.ROUND_HALF_EVEN	java.math.BigDecimal	ROUND_HALF_EVEN	Use RoundingMode.HALF_EVEN instead.	
IC_JDDF_9253	java.math.BigDecimal.ROUND_HALF_UP	java.math.BigDecimal	ROUND_HALF_UP	Use RoundingMode.HALF_UP instead.	
IC_JDDF_9254	java.math.BigDecimal.ROUND_UNNECESSARY	java.math.BigDecimal	ROUND_UNNECESSARY	Use RoundingMode.UNNECESSARY instead.	
IC_JDDF_9255	java.math.BigDecimal.ROUND_UP	java.math.BigDecimal	ROUND_UP	Use RoundingMode.UP instead.	
IC_JDDM_9337	"java.math.BigDecimal.divide(BigDecimal, int)"	java.math.BigDecimal	"divide(BigDecimal, int)"	"The method BigDecimal.divide(BigDecimal, RoundingMode) should be used in preference to this legacy method."	
IC_JDDM_9338	"java.math.BigDecimal.divide(BigDecimal, int, int)"	java.math.BigDecimal	"divide(BigDecimal, int, int)"	"The method BigDecimal.divide(BigDecimal, int, RoundingMode) should be used in preference to this legacy method."	
IC_JDDM_9657	"java.math.BigDecimal.setScale(int, int)"	java.math.BigDecimal	"setScale(int, int)"	"The method BigDecimal.setScale(int, RoundingMode) should be used in preference to this legacy method."	
IC_JDDM_X450	"java.math.BigDecimal.divide?(BigDecimal, int, int)"	java.math.BigDecimal	"divide?(BigDecimal, int, int)"	"The method BigDecimal.divide(BigDecimal, int, RoundingMode) should be used in preference to this legacy method."	
IC_JDDM_X451	"java.math.BigDecimal.setScale?(int, int)"	java.math.BigDecimal	"setScale?(int, int)"	"The method BigDecimal.setScale(int, RoundingMode) should be used in preference to this legacy method."	
IC_JDDM_XV030	"java.math.BigDecimal.divide?(BigDecimal, int)"	java.math.BigDecimal	"divide?(BigDecimal, int)"	"The method BigDecimal.divide(BigDecimal, RoundingMode) should be used in preference to this legacy method."	
IC_JDDC_5024	java.security.Identity	java.security	Identity	"This class is no longer used. Its functionality has been replaced by java.security.KeyStore, the java.security.cert package, and java.security.Principal."	
IC_JDDC_5025	java.security.IdentityScope	java.security	IdentityScope	"This class is no longer used. Its functionality has been replaced by java.security.KeyStore, the java.security.cert package, and java.security.Principal."	
IC_JDDC_5032	java.security.Signer	java.security	Signer	"This class is no longer used. Its functionality has been replaced by java.security.KeyStore, the java.security.cert package, and java.security.Principal."	
IC_JDDI_9132	java.security.Identity	java.security	Identity	"This class is no longer used. Its functionality has been replaced by java.security.KeyStore, the java.security.cert package, and java.security.Principal."	
IC_JDDI_9133	java.security.IdentityScope	java.security	IdentityScope	"This class is no longer used. Its functionality has been replaced by java.security.KeyStore, the java.security.cert package, and java.security.Principal."	
IC_JDDC_9152	java.security.Signer	java.security	Signer	"This class is no longer used. Its functionality has been replaced by java.security.KeyStore, the java.security.cert package, and java.security.Principal."	
IC_JDDM_5174	java.util.Date.getDate()	java.util.Date	getDate()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.DAY_OF_MONTH)."	
IC_JDDM_5175	java.util.Date.getDay()	java.util.Date	getDay()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.DAY_OF_WEEK)."	
IC_JDDM_5195	java.util.Date.getHours()	java.util.Date	getHours()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.HOUR_OF_DAY)."	
IC_JDDM_5206	java.util.Date.getMinutes()	java.util.Date	getMinutes()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.MINUTE)."	
IC_JDDM_5207	java.util.Date.getMonth()	java.util.Date	getMonth()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.MONTH)."	
IC_JDDM_5213	java.awt.ComponentOrientation.getOrientation(ResourceBundle)	java.awt.ComponentOrientation	getOrientation(ResourceBundle)	"As of J2SE 1.4, use ComponentOrientation.getOrientation(java.util.Locale)."	
IC_JDDM_5221	java.util.Date.getSeconds()	java.util.Date	getSeconds()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.SECOND)."	
IC_JDDM_5228	java.util.Date.getTimezoneOffset()	java.util.Date	getTimezoneOffset()	"As of JDK version 1.1, replaced by -(Calendar.get(Calendar.ZONE_OFFSET) + Calendar.get(Calendar.DST_OFFSET)) / (60 * 1000)."	
IC_JDDM_5235	java.util.Date.getYear()	java.util.Date	getYear()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.YEAR) - 1900."	
IC_JDDM_5295	java.util.Date.parse(String)	java.util.Date	parse(String)	"As of JDK version 1.1, replaced by DateFormat.parse(String s)."	
IC_JDDM_5331	"java.util.Properties.save(OutputStream, String)"	java.util.Properties	"save(OutputStream, String)"	"This method does not throw an IOException if an I/O error occurs while saving the property list. The preferred way to save a properties list is via the store(OutputStream out, String comments) method or the storeToXML(OutputStream os, String comment) method."	
IC_JDDM_5336	java.util.Date.setDate(int)	java.util.Date	setDate(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.DAY_OF_MONTH, int date)."	
IC_JDDM_5340	java.util.Date.setHours(int)	java.util.Date	setHours(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.HOUR_OF_DAY, int hours)."	
IC_JDDM_5346	java.util.Date.setMinutes(int)	java.util.Date	setMinutes(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.MINUTE, int minutes)."	
IC_JDDM_5348	java.util.Date.setMonth(int)	java.util.Date	setMonth(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.MONTH, int month)."	
IC_JDDM_5357	java.util.Date.setSeconds(int)	java.util.Date	setSeconds(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.SECOND, int seconds)."	
IC_JDDM_5364	java.util.Date.setYear(int)	java.util.Date	setYear(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.YEAR, year + 1900)."	
IC_JDDM_5376	java.util.Date.toGMTString()	java.util.Date	toGMTString()	"As of JDK version 1.1, replaced by DateFormat.format(Date date), using a GMT TimeZone."	
IC_JDDM_5377	java.util.Date.toLocaleString()	java.util.Date	toLocaleString()	"As of JDK version 1.1, replaced by DateFormat.format(Date date)."	
IC_JDDM_5381	"java.util.Date.UTC(int, int, int, int, int, int)"	java.util.Date	"UTC(int, int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min, sec) or GregorianCalendar(year + 1900, month, date, hrs, min, sec), using a UTC TimeZone, followed by Calendar.getTime().getTime()."	
IC_JDDM_5388	"java.util.Date(int, int, int)"	java.util	"Date(int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date) or GregorianCalendar(year + 1900, month, date)."	
IC_JDDM_5389	"java.util.Date(int, int, int, int, int)"	java.util	"Date(int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min) or GregorianCalendar(year + 1900, month, date, hrs, min)."	
IC_JDDM_5390	"java.util.Date(int, int, int, int, int, int)"	java.util	"Date(int, int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min, sec) or GregorianCalendar(year + 1900, month, date, hrs, min, sec)."	
IC_JDDM_5391	java.util.Date(String)	java.util	Date(String)	"As of JDK version 1.1, replaced by DateFormat.parse(String s)."	
IC_JDDF_6060	java.util.logging.Logger.global	java.util.logging.Logger	global	"Initialization of this field is prone to deadlocks. The field must be initialized by the Logger class initialization which may cause deadlocks with the LogManager class initialization. In such cases two class initialization wait for each other to complete. As of JDK version 1.6, the preferred way to get the global logger object is via the call Logger.getLogger(Logger.GLOBAL_LOGGER_NAME)."	
IC_JDDC_8034	java.util.jar.Pack200	java.util.jar	Pack200	This class is deprecated	 and is planned for removal in a future release.
IC_JDDF_8060	java.util.jar.Attributes.Name.EXTENSION_INSTALLATION	java.util.jar.Attributes.Name	EXTENSION_INSTALLATION	Extension mechanism will be removed in a future release. Use class path instead.	
IC_JDDF_8065	java.util.jar.Attributes.Name.IMPLEMENTATION_URL	java.util.jar.Attributes.Name	IMPLEMENTATION_URL	Extension mechanism will be removed in a future release. Use class path instead.	
IC_JDDF_8066	java.util.jar.Attributes.Name.IMPLEMENTATION_VENDOR_ID	java.util.jar.Attributes.Name	IMPLEMENTATION_VENDOR_ID	Extension mechanism will be removed in a future release. Use class path instead.	
IC_JDDM_8111	java.util.jar.Pack200.Packer.addPropertyChangeListener(PropertyChangeListener)	java.util.jar.Pack200.Packer	addPropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release. Applications that need to monitor progress of the packer can poll the value of the PROGRESS property instead.	
IC_JDDM_8112	java.util.jar.Pack200.Unpacker.addPropertyChangeListener(PropertyChangeListener)	java.util.jar.Pack200.Unpacker	addPropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release. Applications that need to monitor progress of the unpacker can poll the value of the PROGRESS property instead.	
IC_JDDM_8113	java.util.logging.LogManager.addPropertyChangeListener(PropertyChangeListener)	java.util.logging.LogManager	addPropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release. The global LogManager can detect changes to the logging configuration by overridding the readConfiguration method.	
IC_JDDM_8303	"java.util.logging.Logger.logrb(Level, String, String, String, String)"	java.util.logging.Logger	"logrb(Level, String, String, String, String)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_8304	"java.util.logging.Logger.logrb(Level, String, String, String, String, Object)"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Object)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead"	
IC_JDDM_8305	"java.util.logging.Logger.logrb(Level, String, String, String, String, Object[])"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Object[])"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_8306	"java.util.logging.Logger.logrb(Level, String, String, String, String, Throwable)"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Throwable)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Throwable) instead."	
IC_JDDM_8357	java.util.jar.Pack200.Packer.removePropertyChangeListener(PropertyChangeListener)	java.util.jar.Pack200.Packer	removePropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release.	
IC_JDDM_8358	java.util.jar.Pack200.Unpacker.removePropertyChangeListener(PropertyChangeListener)	java.util.jar.Pack200.Unpacker	removePropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release.	
IC_JDDM_8359	java.util.logging.LogManager.removePropertyChangeListener(PropertyChangeListener)	java.util.logging.LogManager	removePropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release. The global LogManager can detect changes to the logging configuration by overridding the readConfiguration method.	
IC_JDDI_9090	java.util.logging.LoggingMXBean	java.util.logging	LoggingMXBean	LoggingMXBean is no longer a platform MXBean and is replaced with PlatformLoggingMXBean. It will not register in the platform MBeanServer. Use ManagementFactory.getPlatformMXBean(PlatformLoggingMXBean.class) instead.	
IC_JDDI_9093	java.util.Observer	java.util	Observer	This interface has been deprecated. See the Observable class for further information.	
IC_JDDI_9142	java.util.Observable	java.util	Observable	"This class and the Observer interface have been deprecated. The event model supported by Observer and Observable is quite limited, the order of notifications delivered by Observable is unspecified, and state changes are not in one-for-one correspondence with notifications. For a richer event model, consider using the java.beans package. For reliable and ordered messaging among threads, consider using one of the concurrent data structures in the java.util.concurrent package. For reactive streams style programming, see the Flow API."	
IC_JDDAT_9211	java.util.jar.Attributes.Name.EXTENSION_INSTALLATION	java.util.jar.Attributes.Name	EXTENSION_INSTALLATION	Extension mechanism is no longer supported.	
IC_JDDF_9212	java.util.logging.Logger.global	java.util.logging.Logger	global	"Initialization of this field is prone to deadlocks. The field must be initialized by the Logger class initialization which may cause deadlocks with the LogManager class initialization. In such cases two class initialization wait for each other to complete. The preferred way to get the global logger object is via the call Logger.getGlobal(). For compatibility with old JDK versions where the Logger.getGlobal() is not available use the call Logger.getLogger(Logger.GLOBAL_LOGGER_NAME) or Logger.getLogger(""global"")."	
IC_JDDF_9216	java.util.jar.Attributes.Name.IMPLEMENTATION_URL	java.util.jar.Attributes.Name	IMPLEMENTATION_URL	Extension mechanism is no longer supported.	
IC_JDDF_9217	java.util.jar.Attributes.Name.IMPLEMENTATION_VENDOR_ID	java.util.jar.Attributes.Name	IMPLEMENTATION_VENDOR_ID	Extension mechanism is no longer supported.	
IC_JDDM_9375	java.util.concurrent.ThreadPoolExecutor.finalize()	java.util.concurrent.ThreadPoolExecutor	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9376	java.util.zip.Deflater.finalize()	java.util.zip.Deflater	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9377	java.util.zip.Inflater.finalize()	java.util.zip.Inflater	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9378	java.util.zip.ZipFile.finalize()	java.util.zip.ZipFile	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9400	java.util.Date.getDate()	java.util.Date	getDate()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.DAY_OF_MONTH)."	
IC_JDDM_9402	java.util.Date.getDay()	java.util.Date	getDay()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.DAY_OF_WEEK)."	
IC_JDDM_9424	java.util.Date.getHours()	java.util.Date	getHours()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.HOUR_OF_DAY)."	
IC_JDDM_9434	java.util.logging.LogManager.getLoggingMXBean()	java.util.logging.LogManager	getLoggingMXBean()	java.util.logging.LoggingMXBean is deprecated and replaced with java.lang.management.PlatformLoggingMXBean. Use ManagementFactory.getPlatformMXBean(PlatformLoggingMXBean.class) instead.	
IC_JDDM_9440	java.util.Date.getMinutes()	java.util.Date	getMinutes()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.MINUTE)."	
IC_JDDM_9443	java.util.Date.getMonth()	java.util.Date	getMonth()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.MONTH)."	
IC_JDDM_9451	java.awt.ComponentOrientation.getOrientation(ResourceBundle)	java.awt.ComponentOrientation	getOrientation(ResourceBundle)	"As of J2SE 1.4, use ComponentOrientation.getOrientation(java.util.Locale)."	
IC_JDDM_9465	java.sql.Date.getSeconds()	java.sql.Date	getSeconds()	java.util.Date.getSeconds()	
IC_JDDM_9466	java.util.Date.getSeconds()	java.util.Date	getSeconds()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.SECOND)."	
IC_JDDM_9478	java.util.Date.getTimezoneOffset()	java.util.Date	getTimezoneOffset()	"As of JDK version 1.1, replaced by -(Calendar.get(Calendar.ZONE_OFFSET) + Calendar.get(Calendar.DST_OFFSET)) / (60 * 1000)."	
IC_JDDM_9489	java.util.Date.getYear()	java.util.Date	getYear()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.YEAR) - 1900."	
IC_JDDM_9535	"java.util.logging.Logger.logrb(Level, String, String, String, String)"	java.util.logging.Logger	"logrb(Level, String, String, String, String)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_9536	"java.util.logging.Logger.logrb(Level, String, String, String, String, Object)"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Object)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead"	
IC_JDDM_9537	"java.util.logging.Logger.logrb(Level, String, String, String, String, Object[])"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Object[])"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_9538	"java.util.logging.Logger.logrb(Level, String, String, String, String, Throwable)"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Throwable)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Throwable) instead."	
IC_JDDM_9582	java.util.Date.parse(String)	java.util.Date	parse(String)	"As of JDK version 1.1, replaced by DateFormat.parse(String s)."	
IC_JDDM_9620	"java.util.Properties.save(OutputStream, String)"	java.util.Properties	"save(OutputStream, String)"	"This method does not throw an IOException if an I/O error occurs while saving the property list. The preferred way to save a properties list is via the store(OutputStream out, String comments) method or the storeToXML(OutputStream os, String comment) method."	
IC_JDDM_9627	java.util.Date.setDate(int)	java.util.Date	setDate(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.DAY_OF_MONTH, int date)."	
IC_JDDM_9633	java.util.Date.setHours(int)	java.util.Date	setHours(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.HOUR_OF_DAY, int hours)."	
IC_JDDM_9642	java.util.logging.LogRecord.setMillis(long)	java.util.logging.LogRecord	setMillis(long)	"LogRecord maintains timestamps with nanosecond resolution, using Instant values. For this reason, setInstant() should be used in preference to setMillis()."	
IC_JDDM_9644	java.util.Date.setMinutes(int)	java.util.Date	setMinutes(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.MINUTE, int minutes)."	
IC_JDDM_9647	java.util.Date.setMonth(int)	java.util.Date	setMonth(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.MONTH, int month)."	
IC_JDDM_9659	java.util.Date.setSeconds(int)	java.util.Date	setSeconds(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.SECOND, int seconds)."	
IC_JDDM_9669	java.util.Date.setYear(int)	java.util.Date	setYear(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.YEAR, year + 1900)."	
IC_JDDM_9688	java.util.Date.toGMTString()	java.util.Date	toGMTString()	"As of JDK version 1.1, replaced by DateFormat.format(Date date), using a GMT TimeZone."	
IC_JDDM_9689	java.util.Date.toLocaleString()	java.util.Date	toLocaleString()	"As of JDK version 1.1, replaced by DateFormat.format(Date date)."	
IC_JDDM_9700	"java.util.Date.UTC(int, int, int, int, int, int)"	java.util.Date	"UTC(int, int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min, sec) or GregorianCalendar(year + 1900, month, date, hrs, min, sec), using a UTC TimeZone, followed by Calendar.getTime().getTime()."	
IC_JDDM_9711	"java.util.concurrent.atomic.AtomicBoolean.weakCompareAndSet(boolean, boolean)"	java.util.concurrent.atomic.AtomicBoolean	"weakCompareAndSet(boolean, boolean)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicBoolean.compareAndExchange(boolean, boolean) and AtomicBoolean.compareAndSet(boolean, boolean)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicBoolean.weakCompareAndSetPlain(boolean, boolean) be used instead."	
